company_brand,founded,headquarter,sector,about_company,founders,investor,amount,series,year
Ahaguru,1970,Chennai,Education Technology,"It is conducting IIT JEE Coach for Physics, Math and Chemistry easily.","Gomathi S, Dr Balaji Sampath",Anand Mahindra,0.0,early traction,2020-01-01
Tekion,1970,San Ramon,Artificial Intelligence,It is a cloud-built platform with advanced machine learning and AI capabilities for a personalized and seamless consumer experience.,"Guru Sankararaman, Jay Vijayan","Alliance Ventures, Storm Ventures",150000000.0,early traction,2020-01-01
Brighteye Ventures,1970,Paris,Education Technology,Education technology venture capital firm.,David guerin,Tandem,5400000.0,others,2020-01-01
EzeRx,1970,Kolkata,Medtech,Developer and manufacturer of medical devices,"Amit mandahar, Chaitali roy","Indian Oil Corporation, Krishna Chakravarty",200000.0,validation,2020-01-01
VitalTech,1970,Plano,Healthcare,"VitalTech is a develop technologies that empower patients to better care for their safety,",Anjan Panneer Selvam,Tech Mahindra,3000000.0,validation,2020-01-01
Genius Teacher,1970,Mumbai,Education Technology,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students","Advitiya Sharma, Gaurav Lahoti","Whiteboard Capital, VKG Ventures LLP.",2000000.0,others,2020-01-01
Ultraviolette Automotive,1970,Bangalore,Automobiles,Ultraviolette Automotive is a technology startup working on electric two-wheelers and energy infrastructure.,"Narayan Subramaniam, Niraj Rajmohan",TVS Motor Company,4000000.0,early traction,2020-01-01
Tring,1970,Mumbai,Social Media,"Tring is a celebrity engagement platform, for all occasions including birthday, anniversaries, get well soon messages.","Akshay Saini, Rahul Saini, Pranav Chabhadia","Sujeet Kumar, Hemesh Singh",0.0,others,2020-01-01
Rare Planet,1970,Kolkata,Retail startup,Rare Planet sells handicrafts made by local artisans.,"Ranodeep Saha, Vijay Kumar",Venture Catalysts,400000.0,early traction,2020-01-01
GoodGamer,1970,Bangalore,Gaming,GoodGamer is India's first Daily Fantasy Sports and true Esports gaming platform.,Charles Creighton,,2500000.0,validation,2020-01-01
InnAccel,1970,Bangalore,Medtech,"A building a portfolio of novel medical devices designed, engineered, and priced for global Emerging Markets.",Siraj Dhanani,Mount Judi Ventures,1500000.0,early traction,2020-01-01
